symbol,exchange,organ_name,en_organ_name,type,id,short_name,sector1_vn,sector2_vn,sector3_vn,sector1_en,sector2_en,sector3_en,listing_shares,source
DST,HNX,CTCP Đầu tư Sao Thăng Long,Sao Thang Long Investment JSC,STOCK,79.0,Đầu tư Sao Thăng Long,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Bán lẻ chuyên doanh,Consumer Discretionary,Consumer Discre. Dist. & Retail,Specialty Retail,32300000,CURRENT_LOCKED
DTD,HNX,CTCP Đầu tư Phát triển Thành Đạt,Thanh Dat Investment Development JSC,STOCK,80.0,Đầu tư Phát triển Thành Đạt,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,66686055,CURRENT_LOCKED
DXG,HOSE,CTCP Tập đoàn Đất Xanh,Dat Xanh Group JSC,STOCK,81.0,Đất Xanh,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,1020631675,CURRENT_LOCKED
DXP,HNX,CTCP Cảng Đoạn Xá,DoanXa Port JSC,STOCK,82.0,Cảng Đoạn Xá,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Materials,Materials,Chemicals,59910133,CURRENT_LOCKED
DXS,HOSE,CTCP Dịch vụ Bất động sản Đất Xanh,Dat Xanh Real Estate Services JSC,STOCK,83.0,Dịch vụ Bất động sản Đất Xanh,Bất động sản,Bất động sản,Dịch vụ bất động sản,Real Estate,Real Estate,Real Estate Services,579103124,CURRENT_LOCKED
EIB,HOSE,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Vietnam Commercial Joint Stock Export Import Bank,STOCK,84.0,Xuất nhập khẩu Việt Nam,Tài chính,Tổ chức tín dụng,Ngân hàng,Financials,Banks,Banks,1868810607,CURRENT_LOCKED
ELC,HOSE,CTCP Công Nghệ - Viễn Thông Elcom,Elcom Technology Communications Corporation,STOCK,85.0,Công Nghệ - Viễn Thông Elcom,Công nghệ thông tin,Phần mềm và dịch vụ,Phần mềm,Information Technology,Software,Software,104847436,CURRENT_LOCKED
EVF,HOSE,Công ty Tài chính Tổng hợp Cổ phần Điện lực,EVF General Finance Joint Stock Company,STOCK,86.0,Công ty Tài chính Tổng hợp Cổ phần Điện lực,Tài chính,Tổ chức tín dụng,Tín dụng phi ngân hàng,Financials,Banks,Non-banks Credit Institutions,760565802,CURRENT_LOCKED
EVG,HOSE,CTCP Tập đoàn EverLand,Everland Group Joint Stock Company,STOCK,87.0,EverLand,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Real Estate,Real Estate,Real Estate Management & Development,215249836,CURRENT_LOCKED
EVS,HNX,CTCP Chứng khoán EVS,EVS Securities Joint Stock Company,STOCK,88.0,Chứng khoán EVS,Tài chính,Dịch vụ tài chính,Thị trường vốn,Financials,Financial Services,Capital Markets,164800618,CURRENT_LOCKED
