symbol,exchange,source,status,sessions_available,latest_date,latest_close,ma200,ma200_status,avg_volume_10,avg_volume_10_status,updated_at,elapsed_seconds,error
HDB,HOSE,KBS,OK,297,2026-07-30,25.7,26.089899999999997,OK,11914070.0,OK,2026-07-31T01:33:27.862353+07:00,1.16,
HDC,HOSE,KBS,OK,297,2026-07-30,11.6,18.601599999999998,OK,1649330.0,OK,2026-07-31T01:33:32.360849+07:00,1.2,
HDG,HOSE,KBS,OK,297,2026-07-30,16.5,24.197249999999993,OK,1619900.0,OK,2026-07-31T01:33:37.229496+07:00,1.57,
HHP,HOSE,KBS,OK,297,2026-07-30,15.25,13.101750000000003,OK,1205820.0,OK,2026-07-31T01:33:41.723058+07:00,1.19,
HHS,HOSE,KBS,OK,297,2026-07-30,9.8,12.59375,OK,987530.0,OK,2026-07-31T01:33:46.196603+07:00,1.17,
HHV,HOSE,KBS,OK,297,2026-07-30,10.05,11.918800000000001,OK,2493130.0,OK,2026-07-31T01:33:50.693990+07:00,1.2,
HII,HOSE,KBS,OK,297,2026-07-30,6.63,5.573250000000001,OK,328740.0,OK,2026-07-31T01:33:55.186796+07:00,1.19,
HPG,HOSE,KBS,OK,297,2026-07-30,21.8,23.886599999999998,OK,30905820.0,OK,2026-07-31T01:33:59.665327+07:00,1.18,
HPX,HOSE,KBS,OK,297,2026-07-30,4.18,4.7012,OK,668220.0,OK,2026-07-31T01:34:04.527356+07:00,1.56,
HQC,HOSE,KBS,OK,297,2026-07-30,2.15,2.7764499999999996,OK,2183730.0,OK,2026-07-31T01:34:09.450889+07:00,1.62,
HSG,HOSE,KBS,OK,297,2026-07-30,10.9,12.157050000000002,OK,2645780.0,OK,2026-07-31T01:34:14.313202+07:00,1.56,
HSL,HOSE,KBS,OK,297,2026-07-30,8.1,7.075900000000001,OK,341240.0,OK,2026-07-31T01:34:19.200643+07:00,1.59,
HT1,HOSE,KBS,OK,297,2026-07-30,12.3,15.153500000000001,OK,136670.0,OK,2026-07-31T01:34:23.677475+07:00,1.18,
HTN,HOSE,KBS,OK,297,2026-07-30,6.6,7.9033500000000005,OK,93000.0,OK,2026-07-31T01:34:28.845121+07:00,1.87,
HVH,HOSE,KBS,OK,297,2026-07-30,11.4,11.220799999999999,OK,241920.0,OK,2026-07-31T01:34:33.730663+07:00,1.59,
HVN,HOSE,KBS,OK,297,2026-07-30,21.8,25.51525,OK,941530.0,OK,2026-07-31T01:34:38.593497+07:00,1.56,
IDI,HOSE,KBS,OK,297,2026-07-30,4.7,6.5482,OK,306470.0,OK,2026-07-31T01:34:43.500676+07:00,1.61,
IJC,HOSE,KBS,OK,297,2026-07-30,7.2,9.96665,OK,2282890.0,OK,2026-07-31T01:34:48.385978+07:00,1.58,
KBC,HOSE,KBS,OK,297,2026-07-30,28.05,32.79675,OK,1444640.0,OK,2026-07-31T01:34:53.271345+07:00,1.58,
KDH,HOSE,KBS,OK,297,2026-07-30,17.5,27.2125,OK,5873300.0,OK,2026-07-31T01:34:57.753438+07:00,1.18,
KHG,HOSE,KBS,OK,297,2026-07-30,4.73,6.1366499999999995,OK,3207120.0,OK,2026-07-31T01:35:02.226945+07:00,1.17,
KLB,HOSE,KBS,OK,291,2026-07-30,11.25,11.738950000000003,OK,525310.0,OK,2026-07-31T01:35:07.125123+07:00,1.6,
KSB,HOSE,KBS,OK,297,2026-07-30,13.4,16.64425,OK,742780.0,OK,2026-07-31T01:35:11.577784+07:00,1.15,
LCG,HOSE,KBS,OK,297,2026-07-30,7.05,9.1099,OK,920460.0,OK,2026-07-31T01:35:16.454429+07:00,1.58,
LDG,HOSE,KBS,OK,297,2026-07-30,2.69,3.74485,OK,509750.0,OK,2026-07-31T01:35:21.371126+07:00,1.62,
LPB,HOSE,KBS,OK,297,2026-07-30,52.6,45.3916,OK,4125290.0,OK,2026-07-31T01:35:25.834671+07:00,1.16,
MBB,HOSE,KBS,OK,297,2026-07-30,22.5,24.551400000000005,OK,14598350.0,OK,2026-07-31T01:35:30.762003+07:00,1.63,
MCH,HOSE,KBS,OK,292,2026-07-30,142.9,145.7751,OK,437530.0,OK,2026-07-31T01:35:35.305525+07:00,1.24,
MIG,HOSE,KBS,OK,297,2026-07-30,16.8,17.80375,OK,125730.0,OK,2026-07-31T01:35:39.986977+07:00,1.38,
MSB,HOSE,KBS,OK,297,2026-07-30,15.75,13.14925,OK,6857550.0,OK,2026-07-31T01:35:44.434447+07:00,1.15,
MSN,HOSE,KBS,OK,297,2026-07-30,67.9,76.0235,OK,5005700.0,OK,2026-07-31T01:35:49.301297+07:00,1.57,
MWG,HOSE,KBS,OK,297,2026-07-30,69.8,80.87575,OK,6622130.0,OK,2026-07-31T01:35:53.773004+07:00,1.17,
MZG,HOSE,KBS,OK,289,2026-07-30,11.8,11.432,OK,488120.0,OK,2026-07-31T01:35:58.632146+07:00,1.56,
NAB,HOSE,KBS,OK,297,2026-07-30,12.3,11.9656,OK,2081450.0,OK,2026-07-31T01:36:03.092519+07:00,1.16,
NAF,HOSE,KBS,OK,297,2026-07-30,48.25,43.26175,OK,605990.0,OK,2026-07-31T01:36:07.592885+07:00,1.2,
NKG,HOSE,KBS,OK,297,2026-07-30,11.1,13.3092,OK,2073780.0,OK,2026-07-31T01:36:12.051043+07:00,1.16,
NLG,HOSE,KBS,OK,297,2026-07-30,21.55,29.156499999999998,OK,1979490.0,OK,2026-07-31T01:36:16.522896+07:00,1.17,
NT2,HOSE,KBS,OK,297,2026-07-30,21.05,24.26875,OK,662520.0,OK,2026-07-31T01:36:20.982206+07:00,1.16,
NTL,HOSE,KBS,OK,297,2026-07-30,13.7,16.5103,OK,282200.0,OK,2026-07-31T01:36:25.457728+07:00,1.18,
NVL,HOSE,KBS,OK,297,2026-07-30,13.0,13.19915,OK,16216610.0,OK,2026-07-31T01:36:30.364680+07:00,1.61,
OCB,HOSE,KBS,OK,297,2026-07-30,10.35,10.3581,OK,2297080.0,OK,2026-07-31T01:36:34.876530+07:00,1.21,
OGC,HOSE,KBS,OK,297,2026-07-30,2.12,3.33185,OK,288650.0,OK,2026-07-31T01:36:39.573958+07:00,1.4,
ORS,HOSE,KBS,OK,297,2026-07-30,14.2,13.62375,OK,5207300.0,OK,2026-07-31T01:36:44.264805+07:00,1.39,
PAC,HOSE,KBS,OK,297,2026-07-30,15.8,20.687800000000003,OK,145710.0,OK,2026-07-31T01:36:49.148626+07:00,1.58,
PAN,HOSE,KBS,OK,297,2026-07-30,21.3,22.822799999999997,OK,310740.0,OK,2026-07-31T01:36:53.616220+07:00,1.17,
PC1,HOSE,KBS,OK,297,2026-07-30,21.65,22.7933,OK,2239940.0,OK,2026-07-31T01:36:58.072041+07:00,1.16,
PDR,HOSE,KBS,OK,297,2026-07-30,11.85,17.651999999999997,OK,8358550.0,OK,2026-07-31T01:37:02.574328+07:00,1.2,
PET,HOSE,KBS,OK,297,2026-07-30,38.0,28.35165,OK,352710.0,OK,2026-07-31T01:37:07.052121+07:00,1.18,
PHR,HOSE,KBS,OK,297,2026-07-30,57.2,60.63325,OK,387360.0,OK,2026-07-31T01:37:11.901791+07:00,1.55,
PLX,HOSE,KBS,OK,297,2026-07-30,33.85,41.13775,OK,1618530.0,OK,2026-07-31T01:37:16.744700+07:00,1.54,
PNJ,HOSE,KBS,OK,297,2026-07-30,32.5,65.05075,OK,11815150.0,OK,2026-07-31T01:37:21.209376+07:00,1.16,
POW,HOSE,KBS,OK,297,2026-07-30,13.7,13.274849999999999,OK,7127880.0,OK,2026-07-31T01:37:25.672295+07:00,1.16,
PPC,HOSE,KBS,OK,297,2026-07-30,8.84,9.9113,OK,131540.0,OK,2026-07-31T01:37:30.174989+07:00,1.2,
PVP,HOSE,KBS,OK,297,2026-07-30,17.3,15.783400000000002,OK,614490.0,OK,2026-07-31T01:37:34.841565+07:00,1.37,
PVT,HOSE,KBS,OK,297,2026-07-30,18.15,18.92465,OK,3215490.0,OK,2026-07-31T01:37:39.325847+07:00,1.18,
QCG,HOSE,KBS,OK,297,2026-07-30,9.9,13.48625,OK,180650.0,OK,2026-07-31T01:37:43.813769+07:00,1.19,
REE,HOSE,KBS,OK,297,2026-07-30,45.3,53.156499999999994,OK,561930.0,OK,2026-07-31T01:37:48.306409+07:00,1.19,
SAB,HOSE,KBS,OK,297,2026-07-30,43.4,43.79455,OK,614070.0,OK,2026-07-31T01:37:52.751959+07:00,1.15,
SBT,HOSE,KBS,OK,297,2026-07-30,21.3,22.060499999999998,OK,625140.0,OK,2026-07-31T01:37:57.222962+07:00,1.17,
SCR,HOSE,KBS,OK,297,2026-07-30,4.68,6.63645,OK,1382850.0,OK,2026-07-31T01:38:01.698558+07:00,1.18,
SCS,HOSE,KBS,OK,297,2026-07-30,43.4,49.5098,OK,141110.0,OK,2026-07-31T01:38:06.559805+07:00,1.56,
SHB,HOSE,KBS,OK,297,2026-07-30,11.75,15.020199999999999,OK,60812130.0,OK,2026-07-31T01:38:11.407274+07:00,1.55,
SHI,HOSE,KBS,OK,297,2026-07-30,14.0,14.361500000000001,OK,126780.0,OK,2026-07-31T01:38:15.862949+07:00,1.16,
SSI,HOSE,KBS,OK,297,2026-07-30,24.0,29.300099999999997,OK,24786590.0,OK,2026-07-31T01:38:20.739321+07:00,1.58,
STB,HOSE,KBS,OK,297,2026-07-30,71.6,62.3715,OK,4756500.0,OK,2026-07-31T01:38:25.201464+07:00,1.16,
SZC,HOSE,KBS,OK,297,2026-07-30,17.95,28.184250000000002,OK,364720.0,OK,2026-07-31T01:38:30.050674+07:00,1.55,
TAL,HOSE,KBS,OK,289,2026-07-30,20.8,30.890349999999998,OK,219900.0,OK,2026-07-31T01:38:34.930777+07:00,1.58,
TCB,HOSE,KBS,OK,297,2026-07-30,29.3,32.94385,OK,12728500.0,OK,2026-07-31T01:38:39.815248+07:00,1.58,
TCH,HOSE,KBS,OK,297,2026-07-30,11.55,16.8539,OK,5097580.0,OK,2026-07-31T01:38:44.688277+07:00,1.57,
TCM,HOSE,KBS,OK,297,2026-07-30,16.7,22.96635,OK,1483620.0,OK,2026-07-31T01:38:49.563775+07:00,1.58,
TCX,HOSE,KBS,PARTIAL,193,2026-07-30,40.6,,NOT_ENOUGH_DATA,1390970.0,OK,2026-07-31T01:38:54.461157+07:00,1.6,
TDC,HOSE,KBS,OK,297,2026-07-30,7.01,10.1782,OK,347980.0,OK,2026-07-31T01:38:59.338833+07:00,1.58,
TDP,HOSE,KBS,OK,297,2026-07-30,28.0,29.0838,OK,254630.0,OK,2026-07-31T01:39:03.811996+07:00,1.17,
TNI,HOSE,KBS,OK,297,2026-07-30,6.9,5.175650000000001,OK,1764110.0,OK,2026-07-31T01:39:08.260665+07:00,1.15,
TPB,HOSE,KBS,OK,297,2026-07-30,14.4,16.564049999999998,OK,9357370.0,OK,2026-07-31T01:39:12.951430+07:00,1.39,
