symbol,exchange,company_name,display_name,en_company_name,vietstock_company_name,name_match_status,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,vietstock_financial_url,status,needs_review,review_reason
BSG,UPCOM,CTCP Xe khách Sài Gòn,CTCP Xe khách Sài Gòn,Saigon Passenger Transport JSC,CTCP Xe khách Sài Gòn - SATRANCO - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Vận tải mặt đất,Công nghiệp,Vận tải,Vận tải mặt đất,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BSG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BSG/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BSL,UPCOM,CTCP Bia Sài Gòn - Sông Lam,CTCP Bia Sài Gòn - Sông Lam,SaiGon-SongLam Beer Joint Stock Company,CTCP Bia Sài Gòn - Sông Lam - SAIGON-SONGLAM BEER JSC - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BSL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BSL/tai-chinh.htm?tab=BCTT,OK,NO,
BSQ,UPCOM,CTCP Bia Sài Gòn - Quảng Ngãi,CTCP Bia Sài Gòn - Quảng Ngãi,Sai Gon - Quang Ngai Beer JSC,CTCP Bia Sài Gòn - Quảng Ngãi - Sabeco-Quang Ngai - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Đồ uống,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BSQ/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BSQ/tai-chinh.htm?tab=BCTT,OK,NO,
BT6,UPCOM,CTCP Beton 6,CTCP Beton 6,Beton 6 Corporation,CTCP Beton 6 - BETON 6 - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BT6/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BT6/tai-chinh.htm?tab=BCTT,OK,NO,
BTH,UPCOM,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,Ha Noi Transformer Manufacturing And Electric Material Joint Stock Company,"CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội - CTBT HN., JSC - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Công nghiệp,Hàng hóa công nghiệp,Thiết bị điện,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BTH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BTH/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BTP,HOSE,CTCP Nhiệt điện Bà Rịa,CTCP Nhiệt điện Bà Rịa,BaRia Thermal Power Joint Stock Company,CTCP Nhiệt điện Bà Rịa - BTP - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Điện,Tiện ích,Điện,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BTP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BTP/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BTS,HNX,CTCP Xi măng VICEM Bút Sơn,CTCP Xi măng VICEM Bút Sơn,Vicem But Son Cement Joint Stock Company,CTCP Xi măng VICEM Bút Sơn - VICEM BUTSON - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BTS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BTS/tai-chinh.htm?tab=BCTT,OK,NO,
BTV,UPCOM,CTCP Dịch vụ Du lịch Bến Thành,CTCP Dịch vụ Du lịch Bến Thành,BenThanh Tourist Service Corporation,CTCP Dịch vụ Du lịch Bến Thành - BENTHANH TOURIST - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Tiêu dùng không thiết yếu,Dịch vụ tiêu dùng,"Khách sạn, nhà hàng và giải trí",Du lịch & Giải trí,NORMAL,27,giai tri,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/BTV/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BTV/tai-chinh.htm?tab=BCTT,OK,NO,
BVL,UPCOM,CTCP BV Land,CTCP BV Land,BV Land JSC,CTCP BV Land - BV Land - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Tập đoàn đa ngành,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BVL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BVL/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
BWS,UPCOM,CTCP Cấp nước Bà Rịa - Vũng Tàu,CTCP Cấp nước Bà Rịa - Vũng Tàu,Ba Ria - Vung Tau Water Supply Joint Stock Company,CTCP Cấp nước Bà Rịa - Vũng Tàu - BWACO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/BWS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/BWS/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
C47,HOSE,CTCP Xây dựng 47,CTCP Xây dựng 47,Construction Joint Stock Company 47,CTCP Xây dựng 47 - CC47 - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/C47/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/C47/tai-chinh.htm?tab=BCTT,OK,NO,
CBI,UPCOM,CTCP Gang thép Cao Bằng,CTCP Gang thép Cao Bằng,Cao Bang Cast Iron And Steel Joint Stock Company,CTCP Gang thép Cao Bằng - CISCO - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Nguyên vật liệu,Khai khoáng và luyện kim,,Kim loại & Khoáng sản,NORMAL,32,khai khoang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CBI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CBI/tai-chinh.htm?tab=BCTT,OK,NO,
CC1,UPCOM,Tổng Công ty Xây dựng Số 1 - CTCP,Tổng Công ty Xây dựng Số 1 - CTCP,Construction Corporation No 1 Joint Stock Company,Tổng Công ty Xây dựng Số 1 - CTCP - CC1 - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CC1/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CC1/tai-chinh.htm?tab=BCTT,OK,NO,
CCC,HOSE,CTCP Xây dựng CDC,CTCP Xây dựng CDC,CDC Construction Joint Stock Company,CTCP Xây dựng CDC - CDC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CCC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CCC/tai-chinh.htm?tab=BCTT,OK,NO,
CCL,HOSE,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Cuu Long Petro Urban Development & Investment Corporation,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long - PVCL - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CCL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CCL/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CCR,HNX,CTCP Cảng Cam Ranh,CTCP Cảng Cam Ranh,Cam Ranh Port Joint Stock Company,CTCP Cảng Cam Ranh - Cảng Cam Ranh - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CCR/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CCR/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CCT,UPCOM,CTCP Cảng Cần Thơ,CTCP Cảng Cần Thơ,CanTho Port Joint Stock Company,CTCP Cảng Cần Thơ - CANTHO PORT - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CCT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CCT/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CDN,HNX,CTCP Cảng Đà Nẵng,CTCP Cảng Đà Nẵng,Danang Port Joint Stock Company,CTCP Cảng Đà Nẵng - DaNang Port - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CDN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CDN/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CDO,UPCOM,CTCP Tư vấn Thiết kế và Phát triển Đô thị,CTCP Tư vấn Thiết kế và Phát triển Đô thị,Consultancy Design & Urban Development JSC,"CTCP Tư vấn Thiết kế và Phát triển Đô thị - CDDC .,JSC - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CDO/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CDO/tai-chinh.htm?tab=BCTT,OK,NO,
CEN,UPCOM,CTCP CENCON Việt Nam,CTCP CENCON Việt Nam,Cencon Vietnam JSC,"CTCP CENCON Việt Nam - CENCON.,JSC - Hồ sơ doanh nghiệp",MATCH,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Hàng không,NORMAL,17,hang khong,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CEN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CEN/tai-chinh.htm?tab=BCTT,OK,NO,
CHP,HOSE,CTCP Thủy điện Miền Trung,CTCP Thủy điện Miền Trung,Central Hydropower Joint Stock Company,CTCP Thủy điện Miền Trung - EVNCHP - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Phát điện độc lập và điện tái tạo,Tiện ích,Phát điện độc lập và điện tái tạo,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CHP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CHP/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CHS,UPCOM,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,HOCHIMINH CITY PUBLIC LIGHTING JSC,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh - SAPULICO - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CHS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CHS/tai-chinh.htm?tab=BCTT,OK,NO,
CIG,HOSE,CTCP COMA 18,CTCP COMA 18,COMA 18 Joint Stock Company,CTCP COMA 18 - COMA18 - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CIG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CIG/tai-chinh.htm?tab=BCTT,OK,NO,
CKD,UPCOM,CTCP Cơ khí Đông Anh LICOGI,CTCP Cơ khí Đông Anh LICOGI,Dong Anh Licogi Mechanical Joint Stock Company,"CTCP Cơ khí Đông Anh LICOGI - CKDA.,JSC - Hồ sơ doanh nghiệp",MATCH,Nguyên vật liệu,Nguyên vật liệu,Khai khoáng và luyện kim,Nguyên vật liệu,Khai khoáng và luyện kim,,Kim loại & Khoáng sản,NORMAL,32,khai khoang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CKD/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CKD/tai-chinh.htm?tab=BCTT,OK,NO,
CKG,HOSE,CTCP Tập đoàn CIC,CTCP Tập đoàn CIC,CIC Group Joint Stock Company,CTCP Tập đoàn CIC - CIC Group - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CKG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CKG/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CLC,HOSE,CTCP Cát Lợi,CTCP Cát Lợi,Cat Loi Joint Stock Company,CTCP Cát Lợi - CL CO - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thuốc lá,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thuốc lá,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CLC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CLC/tai-chinh.htm?tab=BCTT,OK,NO,
CLG,UPCOM,CTCP Đầu tư và Phát triển Nhà đất COTEC,CTCP Đầu tư và Phát triển Nhà đất COTEC,Cotec Invesment & Land-House Development JSC,CTCP Đầu tư và Phát triển Nhà đất COTEC - COTECLAND JSC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Bất động sản,Bất động sản đa dạng,,Xây dựng,NORMAL,15,ky thuat xay dung,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/CLG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CLG/tai-chinh.htm?tab=BCTT,OK,YES,Phân ngành dùng fallback watchlist
CLL,HOSE,CTCP Cảng Cát Lái,CTCP Cảng Cát Lái,Cat Lai Port Joint Stock Company,CTCP Cảng Cát Lái - CAT LAI PORT JSC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CLL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CLL/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CLX,UPCOM,CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX),Cho Lon Investment And Import Export Corporation (CHOLIMEX),CTCP Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX) - CHOLIMEX - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,Thương mại hàng thiết yếu,Tiêu dùng thiết yếu,Thương mại hàng thiết yếu,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CLX/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CLX/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CMM,UPCOM,CTCP Camimex,CTCP Camimex,Camimex Joint Stock Company,CTCP Camimex - Camimex Corp - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CMM/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CMM/tai-chinh.htm?tab=BCTT,OK,NO,
CMP,UPCOM,CTCP Cảng Chân Mây,CTCP Cảng Chân Mây,Chanmay Port Joint Stock Company,CTCP Cảng Chân Mây - Cảng Chân Mây - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CMP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CMP/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CMS,HNX,CTCP Tập Đoàn CMH Việt Nam,CTCP Tập Đoàn CMH Việt Nam,CMH Viet Nam Group Joint Stock Company,CTCP Tập Đoàn CMH Việt Nam - CMH Group - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Công nghiệp,Hàng hóa công nghiệp,Kỹ thuật xây dựng,Xây dựng,NORMAL,15,ky thuat xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CMS/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CMS/tai-chinh.htm?tab=BCTT,OK,NO,
CMX,HOSE,CTCP Camimex Group,CTCP Camimex Group,Camimex Group JSC,CTCP Camimex Group - CAMIMEX GROUP - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CMX/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CMX/tai-chinh.htm?tab=BCTT,OK,NO,
CNG,HOSE,CTCP CNG Việt Nam,CTCP CNG Việt Nam,CNG Viet Nam Joint Stock Company,CTCP CNG Việt Nam - CNG VIET NAM - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Gas sinh hoạt,Tiện ích,Gas sinh hoạt,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CNG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CNG/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CNT,UPCOM,CTCP Tập đoàn CNT,CTCP Tập đoàn CNT,CNT Group Corporation,CTCP Tập đoàn CNT - CNT Group - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CNT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CNT/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CPA,UPCOM,CTCP Cà phê Phước An,CTCP Cà phê Phước An,PhuocAn Coffee Joint Stock Company,CTCP Cà phê Phước An - PhuocAn Coffee - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Tiêu dùng thiết yếu,"Thực phẩm, đồ uống và thuốc lá",Thực phẩm,Thực phẩm & đồ uống,NORMAL,18,thuc pham,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CPA/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CPA/tai-chinh.htm?tab=BCTT,OK,NO,
CPI,UPCOM,CTCP Đầu tư Cảng Cái Lân,CTCP Đầu tư Cảng Cái Lân,Cailan Port Investment Joint Stock Company,CTCP Đầu tư Cảng Cái Lân - CAILANPORT INVEST JSC - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CPI/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CPI/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CQN,UPCOM,CTCP Cảng Quảng Ninh,CTCP Cảng Quảng Ninh,QUANG NINH PORT JSC,CTCP Cảng Quảng Ninh - Cảng Quảng Ninh - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CQN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CQN/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CQT,UPCOM,CTCP Xi măng Quán Triều VVMI,CTCP Xi măng Quán Triều VVMI,VVMI QUAN TRIEU CEMENT JSC,CTCP Xi măng Quán Triều VVMI - VQCT - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CQT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CQT/tai-chinh.htm?tab=BCTT,OK,NO,
CSC,HNX,CTCP Tập đoàn COTANA,CTCP Tập đoàn COTANA,COTANA Group JSC,"CTCP Tập đoàn Cotana - COTANA GROUP., JSC - Hồ sơ doanh nghiệp",MATCH,Bất động sản,Bất động sản,Quản lý và phát triển bất động sản,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CSC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CSC/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CST,HNX,CTCP Than Cao Sơn - TKV,CTCP Than Cao Sơn - TKV,Cao Son Coal JSC,CTCP Than Cao Sơn - TKV - Than Cao Son - Hồ sơ doanh nghiệp,MATCH,Năng lượng,Năng lượng,Dầu khí,Năng lượng,Dầu khí,,Dầu khí,NORMAL,6,dau khi,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CST/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CST/tai-chinh.htm?tab=BCTT,OK,NO,
CTW,UPCOM,CTCP Cấp thoát nước Cần Thơ,CTCP Cấp thoát nước Cần Thơ,Can Tho Water Supply - Sewerage JSC,CTCP Cấp thoát nước Cần Thơ - CANTHOWASSCO - Hồ sơ doanh nghiệp,MATCH,Tiện ích,Tiện ích,Nước,Tiện ích,Nước,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CTW/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CTW/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CTX,UPCOM,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,Vietnam Investment Construction and Trading Joint Stock Corporation,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam - CONSTREXIM HOLDINGS - Hồ sơ doanh nghiệp,MATCH,Bất động sản,Bất động sản,Bất động sản đa dạng,Bất động sản,Quản lý và phát triển bất động sản,,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/CTX/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CTX/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
CVT,HOSE,CTCP CMC,CTCP CMC,CMC Joint Stock Company,CTCP CMC - CMC JSC - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Vật liệu xây dựng,Nguyên vật liệu,Vật liệu xây dựng,,Vật liệu xây dựng,NORMAL,16,vat lieu xay dung,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/CVT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/CVT/tai-chinh.htm?tab=BCTT,OK,NO,
