symbol,exchange,company_name,display_name,en_company_name,vietstock_company_name,name_match_status,watchlist_sector_l1,watchlist_sector_l2,watchlist_sector_l3,vietstock_sector_l1,vietstock_sector_l2,vietstock_sector_l3,website_group,financial_model,website_group_order,matched_keyword,mapping_confidence,suggestion_source,source_url,vietstock_financial_url,status,needs_review,review_reason
PAP,UPCOM,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An,PetroVietnam Phuoc An Port Investment And Operation Joint Stock Company,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An - PAP - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PAP/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PAP/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
PAT,UPCOM,CTCP Phốt Pho Apatit Việt Nam,CTCP Phốt Pho Apatit Việt Nam,Vietnam Apatite ? Phosphorus Joint Stock Company,CTCP Phốt Pho Apatit Việt Nam - VAPAC - Hồ sơ doanh nghiệp,MATCH,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/PAT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PAT/tai-chinh.htm?tab=BCTT,OK,NO,
PBC,UPCOM,CTCP Dược phẩm Trung Ương 1- Pharbaco,CTCP Dược phẩm Trung Ương 1- Pharbaco,Pharbaco Central Pharmaceutical JSC No.1,"CTCP Dược phẩm Trung ương I - Pharbaco - PHARBACO.,JSC - Hồ sơ doanh nghiệp",MISMATCH_REVIEW,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Chăm sóc sức khỏe,"Dược phẩm, công nghệ sinh học và khoa học sự sống",Dược phẩm,Dược & Y tế,NORMAL,19,duoc,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/PBC/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PBC/tai-chinh.htm?tab=BCTT,OK,YES,Tên VNStock khác Vietstock
PCH,HNX,CTCP Nhựa Picomat,CTCP Nhựa Picomat,Picomat Plastic Joint Stock Company,CTCP Picomat Holding - PICOMAT - Hồ sơ doanh nghiệp,MISMATCH_REVIEW,Nguyên vật liệu,Nguyên vật liệu,Hóa chất,Nguyên vật liệu,Hóa chất,,Hóa chất,NORMAL,10,hoa chat,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/PCH/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PCH/tai-chinh.htm?tab=BCTT,OK,YES,Tên VNStock khác Vietstock
PCT,HNX,CTCP Vận tải biển Global Pacific,CTCP Vận tải biển Global Pacific,Global Pacific Shipping Joint Stock Company,CTCP Vận tải biển Global Pacific - - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Vận tải biển,Công nghiệp,Vận tải,Vận tải biển,Cảng & Logistics,NORMAL,14,van tai bien,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/PCT/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PCT/tai-chinh.htm?tab=BCTT,OK,NO,
PDN,HOSE,CTCP Cảng Đồng Nai,CTCP Cảng Đồng Nai,Dong Nai Port JSC,CTCP Cảng Đồng Nai - Dong Nai Port - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Hạ tầng giao thông,Công nghiệp,Vận tải,Hạ tầng giao thông,Khác / cần duyệt,NORMAL,99,,REVIEW,,https://finance.vietstock.vn/PDN/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PDN/tai-chinh.htm?tab=BCTT,OK,YES,Chưa map được ngành
PDV,UPCOM,CTCP Vận Tải Và Tiếp Vận Phương Đông Việt,CTCP Vận Tải Và Tiếp Vận Phương Đông Việt,Phuong Dong Viet Shipping And Logistics Corporation,CTCP Vận Tải Và Tiếp Vận Phương Đông Việt - PVT LOGISTICS - Hồ sơ doanh nghiệp,MATCH,Công nghiệp,Vận tải,Vận tải biển,Công nghiệp,Vận tải,Vận tải biển,Cảng & Logistics,NORMAL,14,van tai bien,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/PDV/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PDV/tai-chinh.htm?tab=BCTT,OK,NO,
PEG,UPCOM,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP,Petec Trading and Investment Corporation,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP - PETEC - Hồ sơ doanh nghiệp,MATCH,Tiêu dùng không thiết yếu,Thương mại hàng không thiết yếu,Nhà phân phối,Năng lượng,Thiết bị và dịch vụ năng lượng,,Hàng không,NORMAL,17,hang khong,WATCHLIST_FALLBACK,WATCHLIST,https://finance.vietstock.vn/PEG/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PEG/tai-chinh.htm?tab=BCTT,OK,YES,Phân ngành dùng fallback watchlist
PFL,UPCOM,CTCP Dầu khí Đông Đô,CTCP Dầu khí Đông Đô,Petroleum Dong Do Joint Stock Company,"CTCP Dầu khí Đông Đô - PETROCONS - ĐÔNG ĐÔ.,JSC - Hồ sơ doanh nghiệp",MATCH,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Công nghiệp,Hàng hóa công nghiệp,Phân phối hàng công nghiệp,Thương mại & Phân phối,NORMAL,33,phan phoi,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/PFL/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PFL/tai-chinh.htm?tab=BCTT,OK,NO,
PGB,UPCOM,Ngân hàng TMCP Thịnh vượng và Phát triển,Ngân hàng TMCP Thịnh vượng và Phát triển,Prosperity and Growth Commercial Joint Stock Bank,Ngân hàng TMCP Thịnh vượng và Phát triển - PGBANK - Hồ sơ doanh nghiệp,MATCH,Tài chính,Tổ chức tín dụng,Ngân hàng,Tài chính,Tổ chức tín dụng,Ngân hàng,Ngân hàng,BANK,1,ngan hang,VIETSTOCK_RULE,VIETSTOCK,https://finance.vietstock.vn/PGB/ho-so-doanh-nghiep.htm,https://finance.vietstock.vn/PGB/tai-chinh.htm?tab=BCTT,OK,NO,
